VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 229}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 189}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 99}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 116}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 161}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 219}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 144}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 256}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 44}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 217}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 121}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 237}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 149}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 216}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 40}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 74}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 95}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 80}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 148}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 264}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 31}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 37}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 51}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 262}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 187}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 223}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 169}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 261}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 178}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 84}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 125}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 228}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 43}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 30}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 135}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 142}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 14-01-2022, VELOCITY: 58}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 150}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 160}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 206}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 118}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 112}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 99}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 168}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 218}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 167}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 105}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 135}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 209}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 234}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 6}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 28}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 112}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 149}
VelocitySample {SID: 2, CITY: Madrid, DATE: 14-01-2022, VELOCITY: 177}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 4}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 152}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 3}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 30}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 251}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 77}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 209}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 136}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 230}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 151}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 213}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 34}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 213}
VelocitySample {SID: 3, CITY: Berlin, DATE: 11-01-2022, VELOCITY: 243}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 131}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 266}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 148}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 142}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 178}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 170}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 106}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 216}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 245}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 122}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 9}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 17}
